title,brand sponsor,description,date,venue,event_type,tags/_text,time,tags/_source,tags,pageUrl,level,theme
Fox Spy Screening After Party,Fox,"Fullscreen invites you to the SX-""Spy"" experience as we celebrate the premiere of Fox's new movie with top-secret celebrity guests, filmmakers, and special guest DJ, Questlove. Admission not guaranteed.","Sunday, March 15",The Market 319 Colorado St,,,10:00PM - 2:00AM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04254,,
Geeks From Gangnam: Meet Korea's startups and KPOP bands,,"KOREA@SXSW2015 presents with love and swag: the Geeks from Gangnam, a delegate of Korea’s craziest startups and bands from the heart of Seoul, Gangnam. Bring your own swag. More info at http://bit.ly/1FNPMJt","Tuesday, March 17",Brass House 115 San Jacinto St,,,8:00PM - 10:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE03969,,
Google Cardboard Party at Google Fiber Space,Google,"Join Google Cardboard for food, drink, and some fun virtual reality experiences. We also have the Birdly simulator ready for you to take flight over San Francisco. Come on by the Google Fiber Space, and take home your very own Google Cardboard.","Friday, March 13",Google Fiber Space 201 Colorado St,,,7:00PM - 11:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04270,,
The GrubHub Snack Attack,GrubHub,"Come get your afternoon grub on and enjoy some free surprise snacks from GrubHub. Plus, swing by for the chance to win Free Lunch for a month!","Sunday, March 15",Driskill Hotel 604 Brazos St,SouthBites,SouthBites,1:30PM - 2:30PM,/2015/tags/SouthBites,http://schedule.sxsw.com/2015/tags/SouthBites,http://schedule.sxsw.com/2015/2015/events/event_OE03885,,
The GrubHub Snack Attack,GrubHub,"Come get your afternoon grub on and enjoy some free surprise snacks from GrubHub. Plus, swing by for the chance to win Free Lunch for a month!","Monday, March 16",Driskill Hotel 604 Brazos St,SouthBites,SouthBites,1:30PM - 2:30PM,/2015/tags/SouthBites,http://schedule.sxsw.com/2015/tags/SouthBites,http://schedule.sxsw.com/2015/2015/events/event_OE03886,,
"The Hangout, sponsored by OneFifty from Time Warner Inc.",Time Warner,"THE PLACE TO BE FOR MULTICULTURALS, BLOGGERS, INFLUENCERS, TECHIES & GENTE WITH GANAS. Join multicultural content creators and all the digital flavor that gets a party started! Featuring Engineer, Professor & DJ, Young Guru.","Sunday, March 15",Crave Restaurant 340 E 2nd St,party networking cocktails,party; networking; cocktails,6:00PM - 9:00PM,/2015/tags/party; /2015/tags/networking; /2015/tags/cocktails,http://schedule.sxsw.com/2015/tags/party; http://schedule.sxsw.com/2015/tags/networking; http://schedule.sxsw.com/2015/tags/cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03854,,
Happy Hour: presented by Purpose,Purpose,"Join us at the SXSW Social Good Hub for Drinks with Purpose.; Purpose is a revolutionary social business that builds movements driven by people and enabled by technology. Our work includes founding, incubating, and partnering with others to create groundbreaking organizations that use mass participation to tackle complex global challenges – from climate change and LGBT rights to poverty and the humanitarian crisis in Syria. Our Webby, Fast Company Innovation by Design (and other) award-winning work changes public narratives, amplifies media coverage, influences powerbrokers, and moves both supporters and advocates to action.; This event is part of the Social Good Hub Program, learn more at http://sxsw.com/sxgood.","Tuesday, March 17",Trinity Hall 311 E 5th,SXgood,SXgood,6:30PM - 7:30PM,/2015/tags/SXgood,http://schedule.sxsw.com/2015/tags/SXgood,http://schedule.sxsw.com/2015/2015/events/event_OE03700,,
Highball- presented by Technology & Entertainment Industry Groups & Songspace,Songspace,"Please join us for Highball, an official SXSW Interactive day party featuring live music and cocktails presented by Songspace and Bank of America Merrill Lynch Technology & Entertainment Industry Groups.; This is an afternoon hang featuring curated live music, cocktails, and complimentary beverages. INSIDE: Our friends at Electric Western will be bringing their wildy successful Nashville rock and roll dance party to Austin, spinning a hand-selected mix of the most danceable popular and obscure 50s and 60s Rock and Roll, Doo Wop, Girl Groups, and Garage Rock. See why GQ Magazine crowned Electric Western hosts of ""America's Most Stylish Party."" OUTSIDE: Live Music from the best up-and-coming bands of 2015. HOUNDMOUTH - NPR Music Artist to See at SXSW 2015 FUTUREBIRDS - ""A stunning second record"" - Pitchfork MAGIC GIANT - Billboard Magazine 'Artist on the Verge' ANDREW COMBS - NPR Music Artist to See at SXSW 2015 BOOM FOREST - ""Transcendently beautiful.""- Adam Duritz, Counting Crows","Sunday, March 15",Swan Dive 615 Red River St,party cocktails,party; cocktails,4:00PM - 7:00PM,/2015/tags/party; /2015/tags/cocktails,http://schedule.sxsw.com/2015/tags/party; http://schedule.sxsw.com/2015/tags/cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE04162,,
Hotline Miami 2: Wrong Number Launch Party,,"Join us at Empire Control Room & Garage Friday, March 13th to celebrate the launch of our violent little baby, Hotline Miami 2: Wrong Number.; Watch it live on www.twitch.tv/devolverdigital","Friday, March 13",Empire Control Room 606 E 7th St,Gaming Expo,Party; Gaming; Art,8:00PM - 2:00AM,/2015/tags/Party; /2015/tags/Gaming; /2015/tags/Art,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Gaming; http://schedule.sxsw.com/2015/tags/Art,http://schedule.sxsw.com/2015/2015/events/event_OE04221,Party Gaming Art,SXSW Gaming and Create
IEEE Future of Identity Party,IEEE,"Party like an engineer with IEEE, world-renowned technologists & body computing brainiacs! Join us at The Driskill to experiment with hacking your brain, or drive a bomb squad robot! Open bar available.","Sunday, March 15",Driskill Hotel 604 Brazos St,party Cocktails,party; Cocktails,8:00PM - 10:00PM,/2015/tags/party; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/party; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03841,,
