"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 SJ)","2016-Sep-21 18:28 ±","0.39/0.00100","0.39/0.00100","13.70","13.51","1.27e+03","29.0","2","APO*"
"(2016 CG18)","2016-Feb-06 13:30 ±","0.39/0.00101","0.39/0.00101","4.88","4.31","9.04e+03","28.5","8","ATE*"
"(2016 EV28)","2016-Mar-08 05:06 ±","0.40/0.00103","0.40/0.00103","25.64","25.53","6.1e+03","28.5","3","APO*"
"(2016 FC1)","2016-Mar-14 14:27 ±","0.44/0.00112","0.43/0.00112","16.18","16.04","472","29.1","2","APO*"
"(2016 FU6)","2016-Mar-25 19:19 ±   00:01","0.47/0.00120","0.46/0.00119","10.27","10.05","1.31e+03","28.9","2","APO*"
"(2016 AN165)","2016-Jan-13 14:44 ±","0.47/0.00120","0.47/0.00120","10.98","10.78","2.82e+03","27.7","4","APO*"
"(2016 RS1)","2016-Sep-03 00:30 ±","0.50/0.00127","0.49/0.00127","7.11","6.81","388","29.1","1","APO*"
"(2016 GS134)","2016-Apr-01 05:56 ±","0.52/0.00133","0.52/0.00133","11.24","11.06","1.01e+03","27.9","8","APO*"
"(2016 DA31)","2016-Feb-29 15:57 ±","0.52/0.00133","0.51/0.00132","13.79","13.65","188","29.9","4","APO*"
"(2016 EK1)","2016-Mar-03 18:06 ±","0.53/0.00135","0.53/0.00135","18.49","18.38","3.15e+03","29.1","2","APO*"
"(2016 JS5)","2016-May-05 22:47 ±","0.53/0.00136","0.53/0.00135","16.08","15.96","6.03e+03","30.6","3","APO*"
"(2016 CW264)","2016-Feb-10 11:38 ±","0.55/0.00141","0.54/0.00140","24.48","24.40","416","29.8","2","APO*"
"(2015 WP2)","2015-Nov-20 01:43 ±","0.60/0.00154","0.60/0.00153","12.84","12.70","986","30.1","2","APO*"
"(2016 EL1)","2016-Mar-04 11:54 ±","0.60/0.00154","0.60/0.00154","20.13","20.04","2.67e+03","27.8","2","APO*"
"(2016 NK22)","2016-Jul-11 13:15 ±","0.69/0.00177","0.69/0.00177","7.12","6.90","2.64e+03","28.9","3","APO*"
"(2016 FE15)","2016-Mar-28 14:18 ±","0.70/0.00180","0.70/0.00180","12.29","12.17","709","28.8","4","APO*"
"(2015 VP64)","2015-Nov-05 09:15 ±","0.73/0.00187","0.73/0.00187","20.45","20.38","713","28.3","4","APO*"
"(2016 NJ22)","2016-Jul-07 10:14 ±","0.74/0.00191","0.74/0.00191","7.00","6.79","2.78e+03","28.4","2","ATE*"
"(2015 XY261)","2015-Dec-15 13:52 ±","0.75/0.00193","0.75/0.00193","11.92","11.80","3.13e+03","27.2","5","APO*"
"(2016 FW13)","2016-Apr-05 02:21 ±","0.82/0.00210","0.82/0.00210","10.46","10.34","1.15e+03","29.4","5","APO*"
"(2016 DK2)","2016-Feb-26 07:19 ±","0.83/0.00212","0.82/0.00212","18.74","18.67","812","29.1","2","APO*"
"(2016 EN157)","2016-Mar-10 02:47 ±","0.84/0.00216","0.84/0.00215","12.56","12.47","706","28.0","2","APO*"
"(2016 GO206)","2016-Apr-06 20:02 ±   00:02","0.86/0.00220","0.85/0.00220","22.54","22.48","1.32e+03","26.5","4","APO*"
"(2016 GO134)","2016-Apr-08 19:34 ±","0.86/0.00222","0.86/0.00221","15.26","15.18","904","27.3","2","APO*"
"(2016 LR51)","2016-Jun-05 04:30 ±","0.91/0.00235","0.90/0.00232","11.48","11.38","191","27.4","1","APO*"
"(2016 FZ13)","2016-Mar-23 03:54 ±   00:01","0.98/0.00252","0.98/0.00251","4.50","4.26","824","28.3","5","ATE*"
"(2016 FN56)","2016-Mar-21 08:33 ±   00:21","1.00/0.00257","0.92/0.00236","24.65","24.61","107","24.2","2","APO*"
"(2015 TQ21)","2015-Oct-07 00:49 ±","1.01/0.00259","1.00/0.00258","19.97","19.92","1.02e+03","27.4","6","APO*"
"(2015 VO142)","2015-Nov-24 02:23 ±","1.02/0.00262","1.02/0.00262","3.12","2.78","5.71e+03","29.0","12","APO*"
"(2016 DV1)","2016-Mar-03 05:17 ±","1.03/0.00264","1.03/0.00264","18.07","18.02","1.9e+04","24.9","20","APO*"
"(2016 EG1)","2016-Mar-05 01:24 ±","1.14/0.00293","1.14/0.00293","12.36","12.29","1.25e+03","29.1","4","APO*"
"(2016 LE10)","2016-Jun-09 08:43 ±","1.18/0.00304","1.18/0.00304","12.20","12.13","1.25e+03","27.1","3","APO*"
"(2016 RE34)","2016-Sep-11 02:41 ±","1.19/0.00305","1.19/0.00305","4.85","4.67","1.74e+03","28.3","3","APO*"
