Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 MV18),2014-Jun-30 15:57 ±,7.2/0.0184,7.2/0.0184,6.57,6.55,2.1e+03,23.7,12,ATE*
(2015 DD54),2015-Feb-21 18:04 ±,7.2/0.0184,7.2/0.0184,7.16,7.14,3.99e+03,25.4,10,APO*
(2015 CK13),2015-Feb-15 01:02 ±,7.2/0.0185,7.2/0.0184,9.42,9.41,1.02e+03,27.2,4,APO*
(2014 UV210),2014-Dec-13 17:48 ±,7.2/0.0185,7.2/0.0185,1.50,1.40,1.19e+06,26.9,20,APO*
(2014 JW79),2014-May-12 16:27 ±   04:01,7.4/0.0189,5.4/0.0138,11.89,11.88,153,26.6,2,APO*
(2007 TV18),2014-Apr-18 00:02 ±,7.4/0.0190,7.4/0.0190,9.75,9.73,2.49e+05,23.8,26,APO*
(2014 XB6),2014-Dec-14 07:17 ±,7.6/0.0194,7.5/0.0194,7.19,7.17,705,26.5,5,APO*
(2014 UY57),2014-Oct-20 02:14 ±,7.6/0.0195,7.6/0.0194,9.13,9.12,503,27.2,6,APO*
(2014 SC145),2014-Sep-25 14:03 ±,7.6/0.0195,7.6/0.0195,11.36,11.35,1.45e+03,25.7,4,APO*
(2014 JD),2014-May-09 23:49 ±,7.7/0.0197,7.6/0.0196,10.46,10.45,548,26.3,8,APO*
(2015 AZ43),2015-Feb-15 12:35 ±,7.7/0.0197,7.7/0.0197,7.22,7.20,3.27e+04,23.5,30,APO*
(2014 KD),2014-May-19 06:27 ±,7.7/0.0199,7.7/0.0199,9.67,9.65,4.87e+03,24.4,8,APO*
(2014 WU202),2014-Nov-29 16:01 ±,7.7/0.0199,7.7/0.0199,7.38,7.36,926,26.8,3,APO*
(2014 UH57),2014-Oct-27 16:22 ±,7.7/0.0199,7.7/0.0198,6.74,6.72,409,27.6,4,APO*
(2014 HN199),2014-May-05 03:00 ±   04:07,7.8/0.0199,7.3/0.0189,16.77,16.76,4.82,26.7,2,APO*
(2015 AH44),2015-Jan-14 23:28 ±,7.8/0.0201,7.8/0.0201,10.78,10.76,1.25e+03,24.5,8,APO*
(2014 RJ),2014-Sep-03 17:31 ±,7.8/0.0202,7.8/0.0200,11.22,11.21,370,25.4,3,AMO*
(2014 HS196),2014-May-10 00:13 ±   01:30,7.9/0.0202,6.9/0.0178,11.77,11.76,43.3,27.5,2,APO*
(2014 SO142),2014-Sep-17 13:32 ±,7.9/0.0203,7.9/0.0203,11.65,11.64,982,24.4,9,APO*
(2015 CM13),2015-Feb-07 01:59 ±,7.9/0.0203,7.9/0.0203,12.44,12.43,1.02e+03,23.7,6,APO*
(2015 DU),2015-Feb-23 09:59 ±,8.0/0.0205,8.0/0.0205,1.69,1.61,2.35e+04,26.7,15,APO*
(2014 JH15),2014-May-17 12:58 ±,8.0/0.0205,8.0/0.0204,13.15,13.14,510,24.5,12,APO*
(2015 FN34),2015-Mar-25 05:18 ±,8.0/0.0206,7.9/0.0204,11.49,11.48,275,26.7,1,APO*
(2014 WB366),2014-Dec-05 06:53 ±,8.0/0.0206,8.0/0.0206,5.65,5.63,1.25e+03,24.8,8,APO*
(2014 HH198),2014-Apr-15 17:28 ±   13:53,8.0/0.0207,6.4/0.0165,7.70,7.68,11.3,28.5,2,APO*
(2014 UA8),2014-Oct-23 17:07 ±,8.1/0.0208,8.0/0.0207,12.23,12.22,377,25.1,4,APO*
(2014 GK35),2014-Apr-02 02:17 ±,8.1/0.0209,8.1/0.0208,20.35,20.34,675,24.4,5,APO*
(2014 QE434),2014-Aug-16 11:05 ±   00:12,8.1/0.0209,7.9/0.0204,9.22,9.20,67.2,24.1,2,AMO*
(2014 HX2),2014-Apr-19 05:58 ±,8.2/0.0210,8.1/0.0209,7.69,7.67,660,27.2,6,APO*
(2014 UR34),2014-Oct-22 02:00 ±,8.2/0.0210,8.2/0.0210,12.22,12.21,880,24.9,3,APO*
(2014 GQ45),2014-Apr-10 12:35 ±,8.2/0.0211,8.2/0.0210,7.64,7.62,1.13e+03,25.5,10,AMO*
(2014 YU34),2014-Dec-29 08:28 ±,8.2/0.0211,8.2/0.0211,10.47,10.45,1.67e+03,24.3,3,APO*
(2014 TP57),2014-Oct-22 16:34 ±,8.2/0.0211,8.2/0.0211,5.71,5.69,734,26.4,6,APO*
(2015 FV33),2015-Mar-03 07:46 ±   00:05,8.2/0.0212,8.1/0.0207,6.29,6.27,251,26.4,2,APO*
(2014 OZ337),2014-Jul-25 23:15 ±,8.3/0.0212,8.3/0.0212,10.86,10.85,7.35e+03,22.5,15,APO*
(2014 WD366),2014-Dec-01 00:37 ±,8.3/0.0212,8.2/0.0211,7.37,7.36,246,27.4,2,APO*
(2015 FJ120),2015-Mar-17 17:13 ±   00:07,8.4/0.0215,8.3/0.0213,8.96,8.95,193,26.2,1,APO*
(2014 HN2),2014-Apr-09 01:28 ±   00:04,8.4/0.0216,8.4/0.0216,2.19,2.13,875,26.5,12,ATE*
(2015 CM),2015-Feb-09 05:40 ±,8.4/0.0216,8.4/0.0216,6.01,5.99,1.22e+03,26.5,11,APO*
(2014 WY362),2014-Nov-06 15:13 ±   00:37,8.4/0.0217,8.1/0.0208,9.31,9.30,87.8,25.4,2,APO*
(2015 CJ13),2015-Feb-15 22:09 ±,8.5/0.0218,8.5/0.0217,14.79,14.78,1.36e+03,24.0,5,ATE*
(2015 BF92),2015-Feb-07 22:08 ±,8.5/0.0219,8.5/0.0218,13.99,13.99,660,24.0,10,APO*
(2011 PU1),2014-Jul-17 02:34 ±,8.5/0.0219,8.5/0.0219,5.00,4.97,8.23e+05,25.6,24,APO*
(2014 JY30),2014-May-04 01:00 ±,8.5/0.0219,8.5/0.0218,11.02,11.01,446,25.4,5,APO*
(2015 FG35),2015-Mar-07 11:41 ±   00:04,8.6/0.0220,8.4/0.0215,8.48,8.47,135,25.4,1,APO*
(2014 UG56),2014-Oct-18 02:47 ±   00:03,8.6/0.0221,8.5/0.0219,20.41,20.41,474,25.2,4,APO*
(2014 KQ84),2014-Jun-05 08:44 ±,8.6/0.0221,8.6/0.0221,3.56,3.52,1.16e+03,26.7,9,AMO*
(2015 DD199),2015-Feb-18 11:01 ±   00:06,8.6/0.0222,8.5/0.0218,7.75,7.74,116,26.2,2,APO*
(2010 FV9),2014-Oct-11 20:20 ±,8.7/0.0223,8.7/0.0223,7.11,7.09,1.13e+05,25.4,18,APO*
(2014 HH123),2014-Apr-16 14:53 ±,8.8/0.0225,8.7/0.0224,7.79,7.78,538,24.4,7,APO*
(2014 JJ55),2014-May-04 12:45 ±,8.8/0.0225,8.7/0.0225,4.60,4.58,892,25.3,6,APO*
(2014 YP34),2015-Jan-04 10:03 ±,8.8/0.0225,8.7/0.0224,6.88,6.87,523,26.1,6,APO*
(2014 HR197),2014-May-05 00:05 ± 1_09:51,8.8/0.0225,3.5/0.0091,17.00,16.99,5.29,27.1,5,APO*
(2015 CB1),2015-Feb-08 02:37 ±,8.8/0.0225,8.7/0.0225,7.98,7.97,866,25.5,2,APO*
(2014 HL2),2014-Apr-28 22:06 ±,8.8/0.0225,8.7/0.0225,11.22,11.21,557,26.2,5,APO*
(2014 WY365),2014-Dec-06 16:38 ±,8.8/0.0226,8.7/0.0225,8.71,8.70,350,25.7,4,APO*
(2014 ME6),2014-Jun-27 09:28 ±,8.8/0.0227,8.8/0.0226,15.50,15.49,714,25.6,4,APO*
(2015 DM155),2015-Feb-14 21:51 ±   00:01,8.9/0.0228,8.8/0.0227,9.79,9.78,417,25.8,2,APO*
(2015 FH37),2015-Mar-27 10:25 ±,8.9/0.0229,8.8/0.0227,18.99,18.98,290,24.9,1,APO*
(2014 FB44),2014-Mar-31 07:21 ±,9.0/0.0230,8.9/0.0229,7.58,7.57,764,25.5,7,APO*
(2014 SX261),2014-Oct-03 22:51 ±,9.0/0.0231,8.9/0.0230,27.57,27.56,1.03e+03,22.5,10,APO*
(2015 CG13),2015-Feb-03 11:11 ±   00:03,9.0/0.0232,9.0/0.0230,35.28,35.28,632,24.0,3,APO*
(2014 MP),2014-Jun-22 05:41 ±,9.1/0.0233,9.0/0.0233,5.03,5.01,1.29e+03,26.0,8,AMO*
(2014 MF6),2014-Jul-09 19:39 ±,9.1/0.0233,9.1/0.0233,11.37,11.36,7.92e+04,20.7,22,APO*
(2014 KA91),2014-Jun-06 17:27 ±,9.1/0.0235,9.1/0.0234,8.44,8.42,606,25.5,9,APO*
(2014 TG18),2014-Sep-27 03:42 ±,9.2/0.0237,9.2/0.0236,16.20,16.19,1.89e+03,22.3,6,APO*
(2014 MB55),2014-Jun-13 14:59 ±   00:01,9.3/0.0238,9.2/0.0237,8.24,8.23,4.1e+03,24.7,5,AMO*
(2014 QS362),2014-Aug-19 01:51 ±,9.3/0.0238,9.2/0.0237,12.65,12.64,446,24.5,3,APO*
(2014 YD1),2014-Dec-11 18:51 ±,9.3/0.0239,9.3/0.0239,8.90,8.89,5.37e+03,25.6,5,APO*
(2015 BF),2015-Jan-25 10:28 ±,9.3/0.0239,9.3/0.0238,11.00,10.98,385,26.6,3,APO*
(2014 QS168),2014-Aug-07 20:50 ±   00:04,9.4/0.0241,9.4/0.0240,7.08,7.06,1.53e+03,23.2,8,AMO*
(2014 OV299),2014-Aug-06 20:03 ±   00:42,9.5/0.0243,9.0/0.0231,13.24,13.23,68,26.3,2,APO*
(2014 MG6),2014-Jun-27 14:43 ±,9.5/0.0244,9.5/0.0243,5.30,5.28,925,26.2,5,AMO*
(2015 FX35),2015-Mar-13 19:58 ±,9.5/0.0244,9.4/0.0242,7.17,7.15,183,27.6,1,APO*
(2015 FW33),2015-Mar-23 03:23 ±,9.6/0.0246,9.5/0.0245,4.80,4.78,652,25.9,7,APO*
(2014 TM34),2014-Oct-05 18:50 ±,9.6/0.0247,9.6/0.0246,6.93,6.92,545,25.0,11,APO*
(2014 OW3),2014-Jul-29 07:52 ±,9.6/0.0247,9.6/0.0246,23.17,23.17,732,22.4,3,APO*
(2015 BL311),2015-Jan-15 02:59 ±,9.6/0.0247,9.6/0.0247,28.52,28.52,1.07e+04,21.0,12,APO*
(2015 FP),2015-Mar-28 04:23 ±,9.6/0.0248,9.6/0.0247,7.49,7.48,468,25.1,4,APO*
(2014 HE5),2014-Apr-29 03:11 ±,9.7/0.0249,9.6/0.0248,14.01,14.00,623,25.4,4,APO*
(2014 MJ26),2014-Jul-02 07:09 ±,9.7/0.0249,9.6/0.0247,8.68,8.66,358,24.8,2,APO*
(2014 TR),2014-Oct-11 14:36 ±   00:03,9.9/0.0253,9.8/0.0251,4.38,4.36,155,27.2,2,APO*
(2014 HB197),2014-May-05 17:36 ±   18:06,9.9/0.0255,7.5/0.0192,8.94,8.93,9.96,27.8,2,APO*
(2015 CE1),2015-Feb-03 09:47 ±,10.1/0.0259,9.9/0.0254,21.40,21.40,138,24.7,3,APO*
(2014 JL25),2014-Jun-05 05:38 ±,10.2/0.0261,10.2/0.0261,13.08,13.08,3.59e+07,23.0,26,APO*
(2015 FL35),2015-Mar-25 13:35 ±,10.2/0.0261,10.2/0.0261,13.75,13.74,959,24.3,2,APO*
(2014 GA),2014-Apr-02 17:03 ±,10.2/0.0262,10.2/0.0261,5.29,5.27,756,26.4,7,APO*
(2014 QZ295),2014-Sep-14 19:46 ±,10.3/0.0264,10.3/0.0263,8.81,8.79,509,24.8,8,ATE*
(2005 YQ96),2015-Jan-02 21:46 ±,10.3/0.0265,10.3/0.0265,12.70,12.70,1.56e+06,20.4,28,ATE*
(2014 ST1),2014-Sep-15 17:14 ±,10.3/0.0265,10.3/0.0264,7.79,7.77,399,26.0,6,AMO*
(2015 BE4),2015-Jan-07 04:12 ±,10.3/0.0265,10.3/0.0265,10.51,10.50,1.4e+04,23.7,10,APO*
(2014 HK197),2014-May-07 18:09 ± 2_05:28,10.4/0.0267,1.9/0.0049,15.85,15.84,3.76,26.9,2,APO*
(2014 WW201),2014-Nov-26 18:28 ±,10.4/0.0268,10.4/0.0268,8.66,8.65,3.03e+03,25.0,7,APO*
(2014 UM192),2014-Oct-22 18:49 ±   00:02,10.5/0.0270,10.4/0.0267,13.18,13.17,226,25.8,4,APO*
(2014 YN),2014-Dec-18 08:20 ±,10.5/0.0271,10.5/0.0271,2.79,2.75,2.91e+03,25.7,18,ATE*
(2014 JS25),2014-May-09 10:17 ±   00:02,10.6/0.0271,10.4/0.0268,7.96,7.95,158,26.5,3,APO*
(2015 DE1),2015-Feb-13 08:45 ±,10.6/0.0271,10.5/0.0269,13.32,13.31,285,23.3,3,APO*
(2010 VQ),2014-Oct-21 19:16 ± 2_16:56,10.6/0.0271,6.2/0.0161,3.98,3.95,1.44e+04,27.7,11,ATE*
(2015 DR),2015-Mar-02 05:55 ±,10.6/0.0272,10.6/0.0271,16.41,16.40,696,23.9,10,APO*
(2014 MV41),2014-Jul-17 03:37 ±,10.6/0.0272,10.5/0.0269,14.00,13.99,215,24.1,7,APO*
(2014 OR392),2014-Jul-29 06:24 ±   00:08,10.6/0.0273,10.4/0.0268,8.48,8.47,104,25.8,2,AMO*
(2015 DC155),2015-Feb-12 20:05 ±,10.6/0.0273,10.6/0.0271,10.76,10.75,298,25.5,3,APO*
(2014 RS17),2014-Sep-07 04:38 ±,10.7/0.0274,10.7/0.0274,26.25,26.24,2.11e+03,23.2,12,APO*
(2007 EC),2015-Jan-15 19:37 ±,10.7/0.0275,10.7/0.0275,6.60,6.58,3.06e+06,22.2,38,ATE*
(2009 TD8),2014-Oct-27 21:54 ±   18:08,10.7/0.0275,8.3/0.0212,6.97,6.95,466,26.9,5,ATE*
(2015 BF511),2015-Feb-17 17:33 ±,10.7/0.0275,10.7/0.0275,7.10,7.08,1.37e+03,24.6,9,APO*
(2015 DO223),2015-Mar-21 03:41 ±,10.7/0.0276,10.7/0.0276,19.06,19.06,1.32e+03,23.5,4,APO*
(2014 UN114),2014-Oct-22 21:55 ±,10.8/0.0278,10.8/0.0278,3.91,3.89,7.21e+03,24.5,28,ATE*
(2012 SL50),2014-Oct-01 15:15 ±   21:03,10.8/0.0278,2.5/0.0063,11.09,11.08,4.39e+03,26.4,5,APO*
(2015 DT),2015-Mar-06 20:59 ±,10.9/0.0279,10.9/0.0279,11.80,11.79,1.27e+03,22.9,15,APO*
(2014 KP2),2014-May-12 08:26 ±   00:28,10.9/0.0279,10.5/0.0271,6.41,6.39,99.3,26.7,3,APO*
(2015 FB118),2015-Mar-13 20:36 ±   00:04,10.9/0.0281,10.7/0.0275,11.49,11.48,192,23.7,4,APO*
(2015 FD),2015-Mar-11 02:08 ±,10.9/0.0281,10.9/0.0280,6.84,6.83,694,26.6,4,ATE*
(2014 QZ265),2014-Aug-27 11:06 ±,11.0/0.0284,11.0/0.0282,14.77,14.77,352,25.3,4,ATE*
(2014 QM266),2014-Sep-01 09:42 ±,11.1/0.0285,11.0/0.0283,27.28,27.27,322,24.3,3,APO*
(2014 HM198),2014-Apr-11 20:30 ± 2_07:57,11.1/0.0285,7.0/0.0179,8.00,7.98,7.27,27.5,2,APO*
(2014 OF392),2014-Aug-10 00:13 ±   00:02,11.1/0.0286,10.8/0.0278,14.27,14.26,85.4,25.5,3,APO*
(2014 WA366),2014-Nov-05 14:10 ±   00:02,11.1/0.0286,11.1/0.0286,1.67,1.62,4.09e+03,26.9,12,APO*
(2014 SM1),2014-Sep-06 06:20 ±   00:01,11.2/0.0288,11.1/0.0286,8.04,8.03,387,25.6,4,ATE*
(2014 SM143),2014-Oct-20 18:34 ±,11.2/0.0288,11.2/0.0288,18.10,18.09,4.55e+07,20.3,34,APO*
(2014 KC46),2014-Jun-08 21:42 ±,11.3/0.0289,11.3/0.0289,19.17,19.16,6.48e+04,22.8,9,APO*
(2013 WF108),2014-May-23 16:01 ±,11.3/0.0290,11.3/0.0290,18.42,18.41,3e+07,20.3,51,APO*
(2014 GP17),2014-Apr-11 19:17 ±,11.3/0.0290,11.3/0.0290,9.68,9.67,2.07e+05,25.2,11,APO*
(2015 BG92),2015-Jan-29 06:09 ±,11.3/0.0290,11.3/0.0290,4.23,4.21,2.27e+04,25.1,20,APO*
(2013 RZ53),2015-Feb-25 19:27 ±   16:10,11.3/0.0290,11.0/0.0281,1.34,1.27,3.93e+03,31.1,6,APO*
(2015 FP35),2015-Mar-23 15:28 ±,11.3/0.0290,11.3/0.0289,13.64,13.64,642,24.3,2,APO*
(2015 BW512),2015-Jan-24 05:19 ±,11.3/0.0291,11.3/0.0289,10.04,10.03,422,25.2,4,APO*
(2014 WK7),2014-Nov-18 08:55 ±,11.3/0.0291,11.3/0.0291,14.23,14.22,1.38e+03,22.4,8,APO*
(2014 TH17),2014-Sep-29 02:00 ±,11.4/0.0292,11.3/0.0290,8.84,8.83,267,26.7,2,AMO*
(2015 EN),2015-Mar-01 23:27 ±   00:05,11.4/0.0294,11.2/0.0288,10.85,10.84,99.6,26.5,1,APO*
(2015 CN13),2015-Mar-02 17:56 ±,11.5/0.0295,11.5/0.0294,8.57,8.56,992,23.3,13,APO*
(2014 UX34),2014-Oct-18 08:55 ±,11.5/0.0296,11.5/0.0296,25.39,25.39,2.56e+04,22.2,12,APO*
(2014 UY56),2014-Oct-15 00:24 ±   00:02,11.6/0.0297,11.3/0.0290,12.77,12.77,85.4,26.3,3,APO*
(2014 OO6),2014-Aug-18 15:39 ±,11.6/0.0298,11.6/0.0298,17.03,17.02,9.39e+04,23.1,18,APO*
(2014 OS338),2014-Jul-17 23:25 ±   00:03,11.6/0.0298,11.5/0.0294,6.20,6.19,130,27.0,4,APO*
(2014 YB35),2015-Mar-27 06:20 ±,11.6/0.0299,11.6/0.0299,10.16,10.15,9.55e+05,18.9,56,APO*
(2014 JT2),2014-Apr-25 03:13 ±,11.7/0.0300,11.6/0.0299,8.53,8.52,367,24.8,6,APO*
(2015 FB),2015-Mar-14 16:47 ±,11.7/0.0301,11.7/0.0300,7.31,7.30,1.15e+03,26.3,4,APO*
(2014 QN266),2014-Jul-16 06:19 ±   00:02,11.7/0.0302,11.7/0.0302,2.11,2.07,2.48e+03,26.3,17,APO*
(2014 QN296),2014-Aug-09 15:38 ±   00:04,11.8/0.0302,11.5/0.0295,6.99,6.98,71.5,26.0,2,AMO*
(2015 BC4),2014-Dec-26 20:09 ±   00:08,11.8/0.0303,11.7/0.0301,7.77,7.76,334,24.7,6,APO*
(2014 SC),2014-Sep-22 09:55 ±,11.9/0.0305,11.8/0.0304,7.53,7.52,576,26.4,9,AMO*
(2015 AP44),2015-Jan-24 12:27 ±,11.9/0.0305,11.8/0.0304,5.02,5.00,513,26.2,5,APO*
(2014 RQ17),2014-Oct-22 06:17 ±,11.9/0.0305,11.9/0.0305,6.40,6.39,1.34e+07,22.3,36,APO*
(2014 HE199),2014-Apr-02 23:47 ±   01:28,11.9/0.0306,11.0/0.0283,12.01,12.00,54.9,25.2,2,APO*
(2014 JT79),2014-Apr-15 16:04 ± 3_04:33,11.9/0.0306,>0.02/0.00004,12.94,12.94,2.87,26.5,4,APO*
(2014 WC364),2014-Dec-08 00:11 ±   00:08,11.9/0.0306,11.5/0.0295,11.06,11.05,109,24.8,2,APO*
(2015 DC199),2015-Feb-21 00:30 ±,12.0/0.0307,11.9/0.0305,7.36,7.35,242,25.9,3,APO*
(2014 TB36),2014-Oct-07 13:27 ±,12.1/0.0311,12.0/0.0309,10.66,10.66,474,25.3,6,APO*
(2015 EJ),2015-Mar-01 16:18 ±   00:02,12.1/0.0312,12.0/0.0308,12.45,12.44,171,25.4,2,APO*
(2014 UW57),2014-Nov-16 17:26 ±   00:02,12.2/0.0313,12.1/0.0312,4.00,3.98,360,26.4,6,APO*
(2007 ED125),2015-Mar-03 21:34 ±,12.2/0.0313,12.2/0.0313,13.04,13.03,2.78e+05,21.1,29,APO*
(2014 TR57),2014-Oct-11 17:46 ±,12.2/0.0314,12.2/0.0313,5.95,5.94,1.84e+03,25.2,8,AMO*
304330 (2006 SX217),2014-Apr-23 17:21 ±,12.3/0.0316,12.3/0.0316,12.68,12.67,4.15e+07,18.9,59,APO*
(2014 JV54),2014-Jun-01 23:52 ±,12.3/0.0316,12.3/0.0316,4.38,4.36,1.04e+05,25.8,13,APO*
(2015 DM215),2015-Feb-23 16:39 ±,12.3/0.0316,12.3/0.0315,15.24,15.23,817,24.2,3,APO*
(2014 SN1),2014-Aug-31 20:10 ±   00:03,12.3/0.0317,12.3/0.0315,14.20,14.20,1.3e+03,24.6,10,APO*
(2014 OH112),2014-Jul-20 06:28 ±,12.5/0.0320,12.4/0.0319,5.54,5.53,391,26.5,5,AMO*
(2014 XJ3),2014-Dec-26 06:35 ±,12.5/0.0321,12.5/0.0321,22.30,22.29,2.06e+07,20.1,28,APO*
(2014 YE14),2014-Dec-18 20:07 ±,12.5/0.0322,12.4/0.0319,9.67,9.66,181,27.2,2,APO*
(2015 EC7),2015-Mar-06 07:12 ±,12.6/0.0324,12.5/0.0322,24.37,24.36,854,22.4,4,APO*
(2014 OT111),2014-Jul-19 14:18 ±,12.9/0.0331,12.9/0.0331,10.21,10.20,2.19e+04,21.7,21,APO*
(2014 HA198),2014-Apr-24 23:59 ±   00:16,12.9/0.0331,12.6/0.0323,3.46,3.44,65.1,28.7,2,AMO*
(2014 YU9),2014-Dec-18 22:15 ±,12.9/0.0332,12.8/0.0328,22.88,22.88,241,24.7,3,APO*
(2015 BD4),2015-Jan-07 05:29 ±,12.9/0.0332,12.9/0.0332,10.09,10.08,5.97e+03,25.0,5,APO*
(2014 UY7),2014-Oct-15 12:09 ±,13.0/0.0334,13.0/0.0334,7.33,7.32,2.13e+03,24.8,12,AMO*
(2014 RD17),2014-Sep-02 05:07 ±   00:01,13.1/0.0337,13.1/0.0336,10.29,10.28,474,24.2,6,APO*
(2014 KX76),2014-May-19 03:21 ±,13.1/0.0338,13.1/0.0337,6.05,6.03,496,24.3,9,AMO*
(2014 JT54),2014-May-18 23:30 ±,13.2/0.0338,13.0/0.0335,20.68,20.67,242,24.1,7,APO*
(2014 UA58),2014-Nov-01 21:56 ±   00:01,13.2/0.0340,13.1/0.0335,11.23,11.22,153,26.6,2,APO*
(2015 FN36),2015-Mar-16 16:13 ±,13.3/0.0341,13.0/0.0335,22.88,22.87,210,23.9,6,APO*
(2014 MD18),2014-Jun-01 08:33 ±   00:05,13.3/0.0342,13.3/0.0341,6.75,6.74,836,24.6,7,AMO*
(2014 KL22),2014-Jun-11 09:43 ±,13.3/0.0342,13.3/0.0342,6.98,6.97,1.16e+03,24.6,13,AMO*
(2014 TC36),2014-Oct-14 18:57 ±,13.4/0.0343,13.3/0.0342,8.87,8.86,478,25.0,6,ATE*
(2015 CZ12),2015-Feb-04 06:18 ±,13.4/0.0343,13.3/0.0341,8.40,8.39,340,25.4,6,APO*
(2015 CO13),2015-Feb-24 19:30 ±,13.4/0.0344,13.2/0.0339,19.10,19.10,177,24.0,4,APO*
(2014 UV34),2014-Oct-14 04:56 ±,13.4/0.0345,13.4/0.0345,5.29,5.28,1.45e+03,24.9,7,APO*
(2015 BB),2015-Jan-19 01:20 ±,13.5/0.0346,13.4/0.0345,15.78,15.77,728,24.9,3,APO*
163132 (2002 CU11),2014-Aug-30 03:14 ±,13.5/0.0347,13.5/0.0347,26.09,26.08,6.87e+07,18.5,113,APO*
(2014 HX198),2014-May-13 06:07 ±,13.5/0.0347,13.4/0.0344,11.41,11.40,219,27.0,2,APO*
(2014 SU1),2014-Oct-18 00:24 ±,13.7/0.0351,13.7/0.0351,2.98,2.95,7.3e+03,25.0,10,APO*
(2014 UQ7),2014-Oct-16 06:06 ±   00:02,13.8/0.0354,13.6/0.0349,7.09,7.08,115,25.1,3,APO*
(2015 FX33),2015-Mar-26 18:47 ±,13.8/0.0354,13.7/0.0353,5.53,5.52,614,25.9,4,AMO*
(2015 BM510),2015-Feb-10 21:01 ±,13.8/0.0355,13.8/0.0355,3.13,3.11,1.73e+03,25.1,10,ATE*
(2014 UY),2014-Dec-01 13:53 ±,13.8/0.0355,13.8/0.0355,3.19,3.17,1.36e+03,25.3,20,APO*
(2014 SE),2014-Sep-15 05:27 ±,13.9/0.0357,13.8/0.0355,10.83,10.82,357,25.3,4,AMO*
(2014 KD45),2014-May-24 01:53 ±   01:34,13.9/0.0358,13.8/0.0356,1.14,1.07,204,27.8,5,AMO*
(2014 UR7),2014-Oct-10 01:54 ±   00:02,14.0/0.0359,13.8/0.0354,8.04,8.03,154,26.1,4,APO*
(2014 TW),2014-Oct-02 10:08 ±,14.1/0.0363,14.1/0.0363,4.72,4.71,1.02e+05,26.0,17,AMO*
(2014 NL52),2014-Jun-27 04:24 ±,14.1/0.0363,14.1/0.0363,5.29,5.27,2.09e+04,23.6,20,APO*
(2014 YT34),2015-Jan-12 00:03 ±,14.2/0.0366,14.2/0.0365,6.99,6.98,694,24.7,12,APO*
(2014 YQ44),2014-Dec-18 07:26 ±   01:35,14.3/0.0366,12.3/0.0316,4.62,4.60,15.9,24.0,2,APO*
(2014 XT7),2014-Dec-20 04:25 ±,14.3/0.0368,14.2/0.0365,8.04,8.03,291,26.0,8,APO*
(2014 QD33),2014-Aug-27 06:44 ±,14.3/0.0369,14.3/0.0367,12.49,12.48,474,24.9,3,APO*
(2014 YK42),2014-Dec-27 00:47 ±,14.4/0.0371,14.4/0.0369,12.61,12.60,444,24.8,2,APO*
(2014 HL198),2014-Apr-14 02:20 ±   00:26,14.5/0.0373,13.2/0.0339,4.86,4.84,42.1,27.3,2,APO*
(2014 UG115),2014-Oct-14 07:30 ±   00:02,14.5/0.0373,14.4/0.0370,5.79,5.78,219,26.6,3,APO*
(2014 FA44),2014-May-23 05:26 ±,14.6/0.0375,14.6/0.0375,2.37,2.34,5.03e+03,24.8,28,AMO*
(2000 HB24),2014-Apr-27 13:28 ±,14.6/0.0376,14.6/0.0376,9.81,9.80,1.54e+05,23.7,16,ATE*
(2014 JQ79),2014-Apr-18 23:49 ±   10:30,14.6/0.0376,10.1/0.0259,7.34,7.33,7.31,26.0,2,APO*
(2014 WO201),2014-Nov-09 11:30 ±   00:03,14.6/0.0376,14.3/0.0367,6.63,6.61,72.9,25.9,2,APO*
(2015 FQ33),2015-Feb-28 20:06 ±   00:04,14.7/0.0377,14.5/0.0374,4.48,4.47,176,26.7,2,APO*
(2014 TJ17),2014-Oct-12 17:16 ±,14.7/0.0377,14.7/0.0377,8.70,8.70,1.86e+04,24.9,14,AMO*
(2014 HF5),2014-Apr-25 18:12 ±,14.7/0.0378,14.7/0.0377,6.49,6.48,550,25.3,6,AMO*
(2014 LF25),2014-May-31 12:59 ±   00:02,14.7/0.0378,14.6/0.0374,11.68,11.67,184,24.1,2,AMO*
(2014 QR296),2014-Aug-20 21:23 ±,14.7/0.0379,14.7/0.0377,6.51,6.49,507,25.2,5,APO*
(2014 WP7),2014-Nov-17 09:05 ±,14.8/0.0380,14.8/0.0379,9.35,9.34,666,26.5,2,AMO*
(2014 OC4),2014-Jul-13 17:38 ±   00:01,14.9/0.0382,14.8/0.0381,5.45,5.43,996,25.5,6,APO*
(2014 WR69),2014-Nov-23 22:56 ±   00:02,15.1/0.0388,14.9/0.0382,8.82,8.81,130,25.0,2,APO*
(2014 GO17),2014-Mar-31 20:40 ±,15.1/0.0389,15.1/0.0389,14.45,14.44,1.09e+05,23.0,16,APO*
(2014 UT56),2014-Nov-07 14:30 ±   00:01,15.2/0.0392,15.0/0.0386,9.82,9.82,208,26.3,4,APO*
(2014 FS52),2014-Apr-11 07:50 ±,15.3/0.0392,15.3/0.0392,15.09,15.09,2.1e+04,24.5,13,APO*
