Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 SS260),2014-Sep-28 19:48 ±   00:01,2.8/0.0072,2.8/0.0071,13.43,13.40,401,26.6,4,APO*
(2015 FT117),2015-Mar-28 18:18 ±,2.8/0.0072,2.8/0.0071,10.53,10.50,261,28.5,1,APO*
(2014 KX86),2014-May-28 03:15 ±,2.9/0.0074,2.9/0.0074,7.53,7.49,789,26.5,6,APO*
(2015 FC),2015-Mar-26 21:47 ±,2.9/0.0074,2.9/0.0074,7.44,7.39,1.07e+03,26.7,7,APO*
(2014 HS197),2014-Apr-20 15:22 ±   00:34,2.9/0.0074,2.7/0.0070,17.22,17.20,47.4,29.4,3,APO*
(2014 UR),2014-Oct-18 11:49 ±,2.9/0.0075,2.9/0.0075,4.44,4.36,1.39e+06,26.6,13,ATE*
(2014 YE15),2014-Dec-30 09:52 ±,2.9/0.0075,2.9/0.0075,4.75,4.68,1.83e+05,28.3,6,ATE*
(2014 RJ11),2014-Sep-08 21:55 ±,3.0/0.0076,3.0/0.0076,7.43,7.38,497,27.3,5,APO*
(2014 FK38),2014-Mar-31 08:04 ±,3.0/0.0077,3.0/0.0076,6.38,6.33,918,25.2,3,ATE*
(2014 KQ75),2014-Jun-01 05:02 ±,3.0/0.0077,3.0/0.0077,19.25,19.23,1.38e+03,25.3,9,APO*
(2014 WR7),2014-Nov-21 12:03 ±,3.0/0.0077,3.0/0.0077,8.34,8.30,842,26.2,4,APO*
(2015 DO215),2015-Mar-02 17:35 ±,3.1/0.0079,3.1/0.0079,5.30,5.23,593,26.7,2,APO*
(2014 UD192),2014-Nov-09 03:08 ±,3.1/0.0079,3.1/0.0079,14.05,14.02,627,25.9,5,APO*
(2015 DS53),2015-Mar-02 20:26 ±,3.1/0.0080,3.1/0.0080,14.32,14.29,969,24.1,9,APO*
357439 (2004 BL86),2015-Jan-26 16:20 ±,3.1/0.0080,3.1/0.0080,15.67,15.65,3.49e+07,19.3,85,APO*
(2015 EK),2015-Mar-13 03:59 ±,3.1/0.0081,3.1/0.0080,8.89,8.85,795,26.3,3,APO*
(2014 WO365),2014-Dec-01 01:39 ±,3.2/0.0082,3.2/0.0082,10.90,10.87,1.27e+03,26.1,2,APO*
